Region,Centroid_X,Centroid_Y
ARÉVALO-MADRIGAL,-4.8590562290303,40.9516144926987
ÁVILA,-4.90948558861007,40.659986552484
BARCO DE ÁVILA - PIEDRAHITA,-5.43831012946367,40.3957593035903
GREDOS,-5.07655420046689,40.3807474183667
BAJO ALBERCHE,-4.5105016775162,40.4952358171346
VALLE DEL TIÉTAR,-4.97893880220541,40.2348456275235
MERINDADES,-3.47296509848829,42.9705967802709
LA BUREBA-EBRO,-3.30178025501907,42.6030970973477
LA DEMANDA,-3.24963752094134,42.0866191519548
LA RIBERA,-3.71404849117182,41.6937444369325
ARLANZA,-3.77720272301911,42.0045081437304
PISUERGA,-4.09900557460918,42.4115889521499
PÁRAMOS,-3.86089091898829,42.7072226520256
ARLANZÓN,-3.67393198675784,42.3701713541864
BIERZO,-6.62446584726284,42.6581151905617
LA MONTAÑA DE LUNA,-6.01884868010716,42.8938249092197
LA MONTAÑA DE RIAÑO,-5.16345284005919,42.9549752353258
LA CABRERA,-6.43841821114674,42.303269304396
ASTORGA,-6.0717368786023,42.5492986259103
TIERRAS DE LEÓN,-5.41067603119318,42.6605358934732
LA BAÑEZA,-5.9750752885959,42.2646842519799
EL PÁRAMO,-5.72831816652935,42.3538488412953
ESLA-CAMPOS,-5.44961582356734,42.3186069687011
SAHAGÚN,-5.06576258279073,42.4485928629797
EL CERRATO,-4.27559836941476,41.9416929751265
CAMPOS,-4.62816908473619,42.1879184559287
SALDAÑA-VALDAVIA,-4.71214208973779,42.5400538111199
BOEDO-OJEDA,-4.40206357243398,42.6356020202127
GUARDO,-4.78089727597863,42.8126684978671
CERVERA,-4.5344397691186,42.9083017146129
AGUILAR,-4.27298070607752,42.8236333943632
VITIGUDINO,-6.5152636140601,41.027898165149
LEDESMA,-6.01528657199151,41.0859277522636
SALAMANCA,-5.63752071752327,41.0178037174473
PEÑARANDA DE BRACAMONTE,-5.25548645240189,40.9586103822711
LA FUENTE DE SAN ESTEBAN,-6.06864334528298,40.7665001867955
ALBA DE TORMES,-5.56058781562766,40.7022919391082
CIUDAD RODRIGO,-6.56971547138617,40.5523133433301
LA SIERRA,-5.89492219663803,40.4823916959971
CUÉLLAR,-4.34329039076959,41.1606152419598
SEPÚLVEDA,-3.70173080372122,41.3798998738114
SEGOVIA,-4.02685109771001,40.9596308907388
PINARES,-2.84322487544739,41.8639331551202
TIERRAS ALTAS Y VALLE DEL TERA,-2.3645119630968,41.9750607352453
BURGO DE OSMA,-3.18338418960531,41.5506574651707
SORIA,-2.689512127906,41.6536542685674
CAMPO DE GÓMARA,-2.13556992462914,41.6365712916714
ALMAZÁN,-2.6136022487939,41.4349444120444
ARCOS DE JALÓN,-2.417158778145,41.2112911437927
TIERRA DE CAMPOS,-5.15496535046372,41.9944160135584
CENTRO,-4.76880105985798,41.6857510968784
SUR,-5.02539440354719,41.3352971539986
SURESTE,-4.42173368989845,41.4872068452273
SANABRIA,-6.56630602781907,42.0631391169399
BENAVENTE Y LOS VALLES,-5.8538717780713,42.0091470495578
ALISTE,-6.1699505196103,41.7601875418819
CAMPOS-PAN,-5.60664079981071,41.7056505607843
SAYAGO,-6.08048281066056,41.349162023833
BAJO DUERO,-5.51921350745299,41.3661369107602
