DS_COMARCA,CENSO DE CERDAS (HEMBRAS REPRODUCTORAS),CENSO DE ANIMALES EN CEBO,TotAnimals
AGUILAR,0.0,0.0,0.0
ALBA DE TORMES,12941.0,99592.0,112533.0
ALISTE,1523.0,31877.0,33400.0
ALMAZÁN,5583.0,90687.0,96270.0
ARCOS DE JALÓN,856.0,6953.0,7809.0
ARLANZA,8934.0,136645.0,145579.0
ARLANZÓN,795.0,9434.0,10229.0
ARÉVALO-MADRIGAL,11239.0,121621.0,132860.0
ASTORGA,3.0,9828.0,9831.0
BAJO ALBERCHE,240.0,26.0,266.0
BAJO DUERO,10257.0,76405.0,86662.0
BARCO DE ÁVILA - PIEDRAHITA,263.0,212.0,475.0
BENAVENTE Y LOS VALLES,7271.0,138729.0,146000.0
BIERZO,68.0,374.0,442.0
BOEDO-OJEDA,0.0,0.0,0.0
BURGO DE OSMA,6534.0,52594.0,59128.0
CAMPO DE GÓMARA,14422.0,131603.0,146025.0
CAMPOS,653.0,5251.0,5904.0
CAMPOS-PAN,11308.0,60461.0,71769.0
CENTRO,5176.0,17977.0,23153.0
CERVERA,4.0,0.0,4.0
CIUDAD RODRIGO,3606.0,14466.0,18072.0
CUÉLLAR,74663.0,452572.0,527235.0
EL CERRATO,2126.0,18957.0,21083.0
EL PÁRAMO,908.0,38841.0,39749.0
ESLA-CAMPOS,2786.0,23137.0,25923.0
GREDOS,0.0,0.0,0.0
GUARDO,8984.0,30639.0,39623.0
LA BAÑEZA,407.0,11180.0,11587.0
LA BUREBA-EBRO,129.0,964.0,1093.0
LA CABRERA,0.0,1899.0,1899.0
LA DEMANDA,1307.0,16137.0,17444.0
LA FUENTE DE SAN ESTEBAN,6738.0,36781.0,43519.0
LA MONTAÑA DE LUNA,1.0,0.0,1.0
LA MONTAÑA DE RIAÑO,0.0,0.0,0.0
LA RIBERA,13020.0,71816.0,84836.0
LA SIERRA,1160.0,9746.0,10906.0
LEDESMA,5309.0,24568.0,29877.0
MERINDADES,396.0,1069.0,1465.0
PEÑARANDA DE BRACAMONTE,8713.0,56649.0,65362.0
PINARES,1320.0,0.0,1320.0
PISUERGA,7479.0,13842.0,21321.0
PÁRAMOS,0.0,52.0,52.0
SAHAGÚN,49.0,1160.0,1209.0
SALAMANCA,13559.0,41279.0,54838.0
SALDAÑA-VALDAVIA,873.0,2795.0,3668.0
SANABRIA,1.0,2766.0,2767.0
SAYAGO,700.0,14960.0,15660.0
SEGOVIA,15851.0,63645.0,79496.0
SEPÚLVEDA,26160.0,135718.0,161878.0
SORIA,8079.0,25217.0,33296.0
SUR,4094.0,34458.0,38552.0
SURESTE,12712.0,75867.0,88579.0
TIERRA DE CAMPOS,6086.0,77801.0,83887.0
TIERRAS ALTAS Y VALLE DEL TERA,3741.0,38163.0,41904.0
TIERRAS DE LEÓN,63.0,1715.0,1778.0
VALLE DEL TIÉTAR,134.0,56.0,190.0
VITIGUDINO,1522.0,8768.0,10290.0
ÁVILA,6014.0,21840.0,27854.0
